"filename", "language", "PHP", "CSS", "JavaScript", "XML", "JSON", "comment", "blank", "total"
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\apps\customers\view\invoices.js", "JavaScript", 0, 0, -90, 0, 0, -20, -19, -129
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\apps\customers\view\payment-method.js", "JavaScript", 0, 0, -89, 0, 0, -11, -10, -110
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\apps\customers\view\payment-table.js", "JavaScript", 0, 0, -82, 0, 0, -15, -13, -110
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\apps\customers\view\statement.js", "JavaScript", 0, 0, -90, 0, 0, -20, -19, -129
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\apps\user-management\permissions\add-permission.js", "JavaScript", 0, 0, -129, 0, 0, -19, -18, -166
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\apps\user-management\permissions\list.js", "JavaScript", 0, 0, -87, 0, 0, -15, -15, -117
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\apps\user-management\permissions\update-permission.js", "JavaScript", 0, 0, -129, 0, 0, -19, -18, -166
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\apps\user-management\roles\list\add.js", "JavaScript", 0, 0, -139, 0, 0, -23, -23, -185
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\apps\user-management\roles\list\update-role.js", "JavaScript", 0, 0, -139, 0, 0, -23, -21, -183
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\apps\user-management\roles\view\update-role.js", "JavaScript", 0, 0, -139, 0, 0, -23, -21, -183
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\apps\user-management\roles\view\view.js", "JavaScript", 0, 0, -170, 0, 0, -31, -24, -225
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\apps\user-management\users\list\add.js", "JavaScript", 0, 0, -147, 0, 0, -18, -18, -183
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\apps\user-management\users\list\export-users.js", "JavaScript", 0, 0, -140, 0, 0, -13, -17, -170
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\apps\user-management\users\list\table.js", "JavaScript", 0, 0, -230, 0, 0, -47, -38, -315
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\apps\user-management\users\view\add-auth-app.js", "JavaScript", 0, 0, -60, 0, 0, -8, -13, -81
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\apps\user-management\users\view\add-one-time-password.js", "JavaScript", 0, 0, -136, 0, 0, -19, -18, -173
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\apps\user-management\users\view\add-schedule.js", "JavaScript", 0, 0, -179, 0, 0, -23, -21, -223
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\apps\user-management\users\view\add-task.js", "JavaScript", 0, 0, -254, 0, 0, -36, -34, -324
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\apps\user-management\users\view\update-details.js", "JavaScript", 0, 0, -101, 0, 0, -16, -15, -132
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\apps\user-management\users\view\update-email.js", "JavaScript", 0, 0, -130, 0, 0, -18, -18, -166
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\apps\user-management\users\view\update-password.js", "JavaScript", 0, 0, -158, 0, 0, -18, -18, -194
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\apps\user-management\users\view\update-role.js", "JavaScript", 0, 0, -101, 0, 0, -16, -15, -132
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\apps\user-management\users\view\view.js", "JavaScript", 0, 0, -191, 0, 0, -16, -27, -234
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\authentication\password-reset\new-password.js", "JavaScript", 0, 0, -121, 0, 0, -14, -17, -152
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\authentication\password-reset\password-reset.js", "JavaScript", 0, 0, -79, 0, 0, -15, -12, -106
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\authentication\sign-in\general.js", "JavaScript", 0, 0, -85, 0, 0, -20, -12, -117
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\authentication\sign-in\two-steps.js", "JavaScript", 0, 0, -62, 0, 0, -13, -12, -87
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\authentication\sign-up\coming-soon.js", "JavaScript", 0, 0, -106, 0, 0, -22, -21, -149
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\authentication\sign-up\free-trial.js", "JavaScript", 0, 0, -130, 0, 0, -16, -17, -163
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\authentication\sign-up\general.js", "JavaScript", 0, 0, -144, 0, 0, -19, -15, -178
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\base\indicator.js", "JavaScript", 0, 0, -40, 0, 0, -16, -12, -68
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\base\rotate.js", "JavaScript", 0, 0, -31, 0, 0, -10, -9, -50
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\charts\apexcharts.js", "JavaScript", 0, 0, -801, 0, 0, -5, -38, -844
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\charts\chartjs.js", "JavaScript", 0, 0, -253, 0, 0, -40, -41, -334
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\charts\flotcharts\axis.js", "JavaScript", 0, 0, -165, 0, 0, -4, -11, -180
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\charts\flotcharts\bar.js", "JavaScript", 0, 0, -46, 0, 0, -5, -6, -57
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\charts\flotcharts\basic.js", "JavaScript", 0, 0, -92, 0, 0, -7, -11, -110
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\charts\flotcharts\dynamic.js", "JavaScript", 0, 0, -72, 0, 0, -8, -11, -91
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\charts\flotcharts\pie.js", "JavaScript", 0, 0, -26, 0, 0, -4, -5, -35
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\charts\flotcharts\stack.js", "JavaScript", 0, 0, -88, 0, 0, -4, -12, -104
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\charts\flotcharts\tracking.js", "JavaScript", 0, 0, -83, 0, 0, -7, -16, -106
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\charts\google-charts\column.js", "JavaScript", 0, 0, -82, 0, 0, -6, -8, -96
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\charts\google-charts\line.js", "JavaScript", 0, 0, -48, 0, 0, -6, -8, -62
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\charts\google-charts\pie.js", "JavaScript", 0, 0, -32, 0, 0, -12, -9, -53
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\documentation.js", "JavaScript", 0, 0, -43, 0, 0, -1, -11, -55
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\editors\ckeditor\balloon-block.js", "JavaScript", 0, 0, -21, 0, 0, -4, -4, -29
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\editors\ckeditor\balloon.js", "JavaScript", 0, 0, -21, 0, 0, -4, -4, -29
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\editors\ckeditor\classic.js", "JavaScript", 0, 0, -21, 0, 0, -4, -4, -29
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\editors\ckeditor\document.js", "JavaScript", 0, 0, -22, 0, 0, -4, -5, -31
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\editors\ckeditor\inline.js", "JavaScript", 0, 0, -21, 0, 0, -4, -4, -29
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\editors\quill\autosave.js", "JavaScript", 0, 0, -36, 0, 0, -18, -7, -61
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\editors\quill\basic.js", "JavaScript", 0, 0, -26, 0, 0, -4, -4, -34
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\editors\tinymce\basic.js", "JavaScript", 0, 0, -19, 0, 0, -4, -6, -29
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\editors\tinymce\hidden.js", "JavaScript", 0, 0, -21, 0, 0, -4, -4, -29
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\editors\tinymce\plugins.js", "JavaScript", 0, 0, -18, 0, 0, -4, -4, -26
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\forms\clipboard.js", "JavaScript", 0, 0, -101, 0, 0, -37, -35, -173
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\forms\flatpickr.js", "JavaScript", 0, 0, -86, 0, 0, -4, -13, -103
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\forms\inputmask.js", "JavaScript", 0, 0, -52, 0, 0, -12, -11, -75
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\forms\multiselectsplitter.js", "JavaScript", 0, 0, -54, 0, 0, -4, -8, -66
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\forms\nouislider.js", "JavaScript", 0, 0, -102, 0, 0, -4, -15, -121
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\forms\recaptcha.js", "JavaScript", 0, 0, -23, 0, 0, -4, -5, -32
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\forms\select2.js", "JavaScript", 0, 0, -58, 0, 0, -8, -9, -75
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\general\blockui.js", "JavaScript", 0, 0, -83, 0, 0, -5, -22, -110
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\general\cropper.js", "JavaScript", 0, 0, -100, 0, 0, -6, -19, -125
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\general\datatables\basic.js", "JavaScript", 0, 0, -36, 0, 0, -4, -7, -47
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\general\draggable\cards.js", "JavaScript", 0, 0, -25, 0, 0, -5, -6, -36
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\general\draggable\multiple-containers.js", "JavaScript", 0, 0, -25, 0, 0, -5, -6, -36
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\general\draggable\restricted.js", "JavaScript", 0, 0, -58, 0, 0, -14, -12, -84
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\general\draggable\swappable.js", "JavaScript", 0, 0, -25, 0, 0, -5, -6, -36
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\general\drawer.js", "JavaScript", 0, 0, -13, 0, 0, -4, -4, -21
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\general\fullcalendar\background-events.js", "JavaScript", 0, 0, -76, 0, 0, -8, -9, -93
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\general\fullcalendar\basic.js", "JavaScript", 0, 0, -154, 0, 0, -4, -14, -172
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\general\fullcalendar\drag-n-drop.js", "JavaScript", 0, 0, -38, 0, 0, -8, -7, -53
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\general\fullcalendar\locales.js", "JavaScript", 0, 0, -100, 0, 0, -8, -10, -118
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\general\fullcalendar\selectable-dates.js", "JavaScript", 0, 0, -149, 0, 0, -7, -9, -165
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\general\fullcalendar\timezone.js", "JavaScript", 0, 0, -167, 0, 0, -10, -15, -192
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\general\jkanban\basic.js", "JavaScript", 0, 0, -50, 0, 0, -4, -4, -58
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\general\jkanban\color.js", "JavaScript", 0, 0, -59, 0, 0, -4, -4, -67
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\general\jkanban\restricted.js", "JavaScript", 0, 0, -80, 0, 0, -4, -4, -88
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\general\jkanban\rich.js", "JavaScript", 0, 0, -237, 0, 0, -4, -7, -248
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\general\jstree\ajax.js", "JavaScript", 0, 0, -43, 0, 0, -5, -4, -52
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\general\jstree\basic.js", "JavaScript", 0, 0, -29, 0, 0, -4, -4, -37
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\general\jstree\checkable.js", "JavaScript", 0, 0, -59, 0, 0, -4, -4, -67
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\general\jstree\contextual.js", "JavaScript", 0, 0, -73, 0, 0, -5, -4, -82
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\general\jstree\customicons.js", "JavaScript", 0, 0, -39, 0, 0, -5, -5, -49
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\general\jstree\dragdrop.js", "JavaScript", 0, 0, -73, 0, 0, -5, -4, -82
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\general\scroll.js", "JavaScript", 0, 0, -13, 0, 0, -4, -5, -22
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\general\search\basic.js", "JavaScript", 0, 0, -49, 0, 0, -20, -15, -84
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\general\search\menu.js", "JavaScript", 0, 0, -86, 0, 0, -24, -25, -135
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\general\search\responsive.js", "JavaScript", 0, 0, -63, 0, 0, -21, -16, -100
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\general\stepper.js", "JavaScript", 0, 0, -40, 0, 0, -15, -14, -69
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\general\typed.js", "JavaScript", 0, 0, -17, 0, 0, -4, -4, -25
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\general\vis-timeline\basic.js", "JavaScript", 0, 0, -24, 0, 0, -8, -7, -39
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\general\vis-timeline\group.js", "JavaScript", 0, 0, -79, 0, 0, -9, -14, -102
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\general\vis-timeline\interaction.js", "JavaScript", 0, 0, -49, 0, 0, -10, -8, -67
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\general\vis-timeline\style.js", "JavaScript", 0, 0, -71, 0, 0, -6, -13, -90
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\general\vis-timeline\template.js", "JavaScript", 0, 0, -204, 0, 0, -15, -12, -231
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\documentation\search.js", "JavaScript", 0, 0, -56, 0, 0, -20, -16, -92
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\general\pricing.js", "JavaScript", 0, 0, -46, 0, 0, -7, -13, -66
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\general\wizard.js", "JavaScript", 0, 0, -268, 0, 0, -33, -30, -331
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\intro.js", "JavaScript", 0, 0, -146, 0, 0, -19, -43, -208
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\modals\create-account.js", "JavaScript", 0, 0, -294, 0, 0, -34, -35, -363
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\modals\create-app.js", "JavaScript", 0, 0, -257, 0, 0, -36, -34, -327
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\modals\new-card.js", "JavaScript", 0, 0, -166, 0, 0, -25, -22, -213
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\modals\new-target.js", "JavaScript", 0, 0, -169, 0, 0, -20, -22, -211
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\modals\two-factor-authentication.js", "JavaScript", 0, 0, -199, 0, 0, -29, -39, -267
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\modals\users-search.js", "JavaScript", 0, 0, -46, 0, 0, -18, -13, -77
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\custom\widgets.js", "JavaScript", 0, 0, -691, 0, 0, -16, -54, -761
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\js\scripts.bundle.js", "JavaScript", 0, 0, -4167, 0, 0, -652, -1221, -6040
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\media\logos\logo-default.svg", "XML", 0, 0, 0, -3, 0, 0, -1, -4
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\media\logos\logo-light.svg", "XML", 0, 0, 0, -3, 0, 0, -1, -4
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\plugins\custom\cropper\cropper.bundle.css", "CSS", 0, -254, 0, 0, 0, -9, -37, -300
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\plugins\custom\cropper\cropper.bundle.js", "JavaScript", 0, 0, -2660, 0, 0, -435, -537, -3632
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\plugins\custom\datatables\datatables.bundle.css", "CSS", 0, -980, 0, 0, 0, -5, -184, -1169
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\plugins\custom\datatables\datatables.bundle.js", "JavaScript", 0, 0, -9527, 0, 0, -7549, -2606, -19682
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\plugins\custom\draggable\draggable.bundle.js", "JavaScript", 0, 0, -21034, 0, 0, -10909, -7361, -39304
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\plugins\custom\flotcharts\flotcharts.bundle.js", "JavaScript", 0, 0, -1100, 0, 0, -343, -256, -1699
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\plugins\custom\fslightbox\fslightbox.bundle.js", "JavaScript", 0, 0, -1, 0, 0, 0, 0, -1
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\plugins\custom\jkanban\jkanban.bundle.css", "CSS", 0, -122, 0, 0, 0, 0, -25, -147
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\plugins\custom\jkanban\jkanban.bundle.js", "JavaScript", 0, 0, -1, 0, 0, 0, 0, -1
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\plugins\custom\jstree\jstree.bundle.css", "CSS", 0, -1083, 0, 0, 0, -19, -258, -1360
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\plugins\custom\jstree\jstree.bundle.js", "JavaScript", 0, 0, -6249, 0, 0, -2230, -177, -8656
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\plugins\custom\leaflet\leaflet.bundle.css", "CSS", 0, -722, 0, 0, 0, -26, -149, -897
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\plugins\custom\leaflet\leaflet.bundle.js", "JavaScript", 0, 0, -4, 0, 0, -19, -2, -25
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\plugins\custom\prismjs\prismjs.bundle.css", "CSS", 0, -157, 0, 0, 0, -8, -31, -196
"d:\wamp\www\istakip\Projects\Frontend\Resources\Themes\Default\plugins\custom\prismjs\prismjs.bundle.js", "JavaScript", 0, 0, -2088, 0, 0, -767, -306, -3161
